Timestamp,Ticker,Price
2026-05-30 03:31:07.810490,VTI,372.5400085449219
2026-05-30 03:31:09.353081,NVDA,211.13999938964844
2026-05-30 13:04:42.781494,VTI,372.5400085449219
2026-05-30 13:04:43.233949,NVDA,211.13999938964844
2026-05-30 17:59:19.728385,VTI,372.5400085449219
2026-05-30 17:59:20.219764,NVDA,211.13999938964844
2026-05-31 13:16:19.490992,VTI,372.5400085449219
2026-05-31 13:16:19.922593,NVDA,211.13999938964844
2026-05-31 17:55:29.949021,VTI,372.5400085449219
2026-05-31 17:55:30.592716,NVDA,211.13999938964844
2026-06-01 17:18:56.543475,VTI,372.8900146484375
2026-06-01 17:18:56.987648,NVDA,221.4250030517578
2026-06-01 20:52:07.860215,VTI,373.3999938964844
2026-06-01 20:52:08.852645,NVDA,224.3600006103516
2026-06-02 16:02:07.476299,VTI,374.2799987792969
2026-06-02 16:02:08.249294,NVDA,225.3300018310547
2026-06-02 20:00:02.351261,VTI,374.3699951171875
2026-06-02 20:00:02.750358,NVDA,222.88999938964844
2026-06-03 16:19:14.998619,VTI,371.8399963378906
2026-06-03 16:19:15.814005,NVDA,216.1699981689453
2026-06-03 20:13:47.353314,VTI,371.6300048828125
2026-06-03 20:13:47.761209,NVDA,214.75
2026-06-04 14:37:18.199148,VTI,371.7799987792969
2026-06-04 14:37:18.575811,NVDA,213.8800048828125
2026-06-04 19:15:19.749058,VTI,373.7149963378906
2026-06-04 19:15:20.340524,NVDA,220.7899932861328
2026-06-05 14:26:27.981525,VTI,369.3399963378906
2026-06-05 14:26:28.481458,NVDA,211.3032989501953
2026-06-05 18:55:40.372663,VTI,364.1549987792969
2026-06-05 18:55:41.194116,NVDA,205.44000244140625
2026-06-06 13:09:58.763304,VTI,363.3800048828125
2026-06-06 13:09:59.314887,NVDA,205.1000061035156
2026-06-06 18:01:24.202476,VTI,363.3800048828125
2026-06-06 18:01:24.638480,NVDA,205.1000061035156
2026-06-07 13:22:52.393485,VTI,363.3800048828125
2026-06-07 13:22:52.760792,NVDA,205.1000061035156
2026-06-07 17:59:50.702778,VTI,363.3800048828125
2026-06-07 17:59:51.071136,NVDA,205.1000061035156
2026-06-08 15:30:59.483466,VTI,366.2200012207031
2026-06-08 15:30:59.876928,NVDA,207.22000122070312
2026-06-08 19:16:42.620584,VTI,364.6099853515625
2026-06-08 19:16:43.075304,NVDA,207.8000030517578
2026-06-09 14:28:15.995983,VTI,366.1700134277344
2026-06-09 14:28:16.405175,NVDA,207.3099975585937
2026-06-09 19:09:22.481803,VTI,363.5849914550781
2026-06-09 19:09:23.266656,NVDA,207.0500030517578
2026-06-10 14:54:45.193449,VTI,362.7774963378906
2026-06-10 14:54:45.799826,NVDA,205.5500030517578
2026-06-10 19:29:39.006336,VTI,358.17999267578125
2026-06-10 19:29:41.352113,NVDA,200.1649932861328
2026-06-11 15:36:21.788802,VTI,359.4301147460937
2026-06-11 15:36:22.635281,NVDA,201.259994506836
2026-06-11 19:29:05.412268,VTI,364.5700073242188
2026-06-11 19:29:05.878916,NVDA,204.6300048828125
2026-06-12 14:36:26.706152,VTI,365.8800048828125
2026-06-12 14:36:27.160199,NVDA,205.8426055908203
2026-06-12 18:59:40.919052,VTI,366.1199951171875
2026-06-12 18:59:41.300490,NVDA,204.72000122070312
2026-06-13 13:27:05.762732,VTI,366.3599853515625
2026-06-13 13:27:06.192382,NVDA,205.19000244140625
2026-06-13 18:03:42.149440,VTI,366.3599853515625
2026-06-13 18:03:43.045656,NVDA,205.19000244140625
2026-06-14 13:29:52.585262,VTI,366.3599853515625
2026-06-14 13:29:53.046927,NVDA,205.19000244140625
2026-06-14 18:08:30.645365,VTI,366.3599853515625
2026-06-14 18:08:31.021921,NVDA,205.19000244140625
2026-06-15 16:59:53.341278,VTI,373.18499755859375
2026-06-15 16:59:53.739183,NVDA,212.29440307617188
2026-06-15 20:25:54.481025,VTI,372.5299987792969
2026-06-15 20:25:54.931074,NVDA,212.4499969482422
2026-06-16 16:25:14.096017,VTI,371.9800109863281
2026-06-16 16:25:14.881172,NVDA,209.3793029785156
2026-06-16 20:10:35.724707,VTI,370.30999755859375
2026-06-16 20:10:36.125598,NVDA,207.4100036621093
2026-06-17 14:52:38.571635,VTI,370.4800109863281
2026-06-17 14:52:38.999119,NVDA,207.32000732421875
2026-06-17 19:20:10.248433,VTI,367.4800109863281
2026-06-17 19:20:10.788449,NVDA,205.1000061035156
2026-06-18 14:48:10.325982,VTI,369.9601135253906
2026-06-18 14:48:10.770502,NVDA,209.6201019287109
2026-06-18 19:22:25.386897,VTI,369.55999755859375
2026-06-18 19:22:26.066938,NVDA,210.0249938964844
2026-06-19 14:44:09.146172,NVDA,210.69
2026-06-19 18:28:46.164366,VTI,369.989990234375
2026-06-19 18:28:46.511665,NVDA,210.69000244140625
2026-06-20 13:29:01.537113,VTI,369.989990234375
2026-06-20 13:29:01.937470,NVDA,210.69000244140625
2026-06-20 18:06:21.188577,VTI,369.989990234375
2026-06-20 18:06:21.607510,NVDA,210.69000244140625
2026-06-21 13:49:03.547520,VTI,369.989990234375
2026-06-21 13:49:03.894122,NVDA,210.69000244140625
2026-06-21 18:15:34.089813,VTI,369.989990234375
2026-06-21 18:15:35.617221,NVDA,210.69000244140625
2026-06-22 16:29:26.168621,VTI,368.9599914550781
2026-06-22 16:29:26.615299,NVDA,209.60499572753903
2026-06-22 19:59:48.988256,VTI,368.75
2026-06-22 19:59:49.496281,NVDA,208.4499969482422
2026-06-23 14:28:43.998624,VTI,365.9849853515625
2026-06-23 14:28:44.408302,NVDA,202.6999969482422
2026-06-23 19:05:32.645045,VTI,364.7149963378906
2026-06-23 19:05:33.352585,NVDA,201.3650054931641
2026-06-24 14:07:42.906579,VTI,365.239990234375
2026-06-24 14:07:43.668497,NVDA,199.7700042724609
2026-06-24 18:28:37.277496,VTI,364.3699951171875
2026-06-24 18:28:37.758308,NVDA,198.42999267578125
2026-06-25 14:05:07.745730,VTI,364.3200073242188
2026-06-25 14:05:08.102410,NVDA,194.1100006103516
2026-06-25 19:03:17.557377,VTI,363.8599853515625
2026-06-25 19:03:18.342702,NVDA,194.4199981689453
2026-06-26 14:04:16.510815,VTI,362.4700012207031
2026-06-26 14:04:16.893983,NVDA,193.9499969482422
2026-06-26 18:24:49.439142,VTI,363.1700134277344
2026-06-26 18:24:49.803995,NVDA,194.22999572753903
2026-06-27 13:11:00.915787,VTI,362.2200012207031
2026-06-27 13:11:01.367749,NVDA,192.52999877929688
2026-06-27 17:56:08.087172,VTI,362.2200012207031
2026-06-27 17:56:08.772500,NVDA,192.52999877929688
2026-06-28 13:18:01.652777,VTI,362.2200012207031
2026-06-28 13:18:02.018097,NVDA,192.52999877929688
2026-06-28 18:00:04.614799,VTI,362.2200012207031
2026-06-28 18:00:05.391945,NVDA,192.52999877929688
2026-06-29 15:31:39.047900,VTI,365.2699890136719
2026-06-29 15:31:39.425975,NVDA,194.0200042724609
2026-06-29 19:03:03.269957,VTI,366.8250122070313
2026-06-29 19:03:03.627425,NVDA,193.9149932861328
2026-06-30 13:57:06.508525,VTI,368.2999877929688
2026-06-30 13:57:07.079891,NVDA,197.9199981689453
2026-06-30 18:51:01.879570,VTI,370.3150024414063
2026-06-30 18:51:02.508786,NVDA,198.8650054931641
2026-07-01 14:09:08.109817,VTI,369.8955078125
2026-07-01 14:09:08.829217,NVDA,195.67999267578125
2026-07-01 18:56:05.809180,VTI,369.7099914550781
2026-07-01 18:56:06.333068,NVDA,197.9600067138672
2026-07-02 13:30:24.928272,VTI,370.34381103515625
2026-07-02 13:30:25.752931,NVDA,196.94000244140625
2026-07-02 18:23:35.767983,VTI,367.1499938964844
2026-07-02 18:23:36.159978,NVDA,193.1000061035156
2026-07-03 13:44:00.103345,VTI,368.760009765625
2026-07-03 13:44:00.665766,NVDA,194.8300018310547
2026-07-03 18:08:33.869613,VTI,368.760009765625
2026-07-03 18:08:39.225177,NVDA,194.8300018310547
2026-07-04 13:01:10.919952,VTI,368.760009765625
2026-07-04 13:01:11.442627,NVDA,194.8300018310547
2026-07-04 17:57:52.074250,VTI,368.760009765625
2026-07-04 17:57:52.528093,NVDA,194.8300018310547
2026-07-05 13:09:26.961802,VTI,368.760009765625
2026-07-05 13:09:27.406456,NVDA,194.8300018310547
2026-07-05 17:57:09.945429,VTI,368.760009765625
2026-07-05 17:57:10.417796,NVDA,194.8300018310547
2026-07-06 15:00:17.285981,VTI,371.4150085449219
2026-07-06 15:00:17.694599,NVDA,195.97000122070312
2026-07-06 18:51:33.290828,VTI,372.010009765625
